id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
3083726,Mon May 02 2016 15:32:45 GMT-0600 (MDT),2016-05-02,2016-05-02 21:32:45 UTC,Mountain Time (US & Canada),37587,hannawacker,2016-05-02 22:33:50 UTC,2019-05-06 22:31:41 UTC,needs_id,CC0,http://www.inaturalist.org/observations/3083726,https://static.inaturalist.org/photos/3556622/medium.jpg?1462228445,,"","",3,1,false,3,"Arches National Park, Thompson, UT, US",38.6128689163,-109.5799962246,5,,,false,,,,Grand,Utah,United States,Utah,Grand,"Honey Bees, Bumble Bees, and Allies",Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
3095368,2016-04-30 11:11:05,2016-04-30,2016-04-30 18:11:05 UTC,Pacific Time (US & Canada),28,tiwane,2016-05-04 13:13:53 UTC,2019-01-03 23:48:23 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3095368,https://static.inaturalist.org/photos/3570676/medium.jpg?1462367726,,"andrena, joshua tree national park, mojave, mojave desert, national park, national park service, national parks, san bernardino county",,2,0,false,,"Joshua Tree National Park, San Bernardino, California, United States",34.068375,-116.3697733333,,,,false,,,,San Bernardino,California,United States,California,San Bernardino,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
3221958,2016-05-19,2016-05-19,,Central Time (US & Canada),152903,mp548225,2016-05-20 14:14:59 UTC,2017-11-25 07:05:48 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3221958,https://static.inaturalist.org/photos/3730209/medium.JPG?1463753702,,"","",1,0,false,,Matador WMA,34.116026,-100.350406,,,,false,,,,Cottle,Texas,United States,Texas,Cottle,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
3257961,Sat May 21 2016 13:30:24 GMT-0700 (PDT),2016-05-21,2016-05-21 20:30:24 UTC,Pacific Time (US & Canada),32956,scstroller,2016-05-21 21:26:00 UTC,2018-02-14 17:33:17 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3257961,https://static.inaturalist.org/photos/3767914/medium.jpg?1463865971,,"",,2,0,false,3,"2400–2760 Pinnacles Hwy, Paicines, CA, US",36.4957966667,-121.1437,,,,false,,,,San Benito,California,United States,California,San Benito,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
3261155,Sat May 21 2016 10:23:51 GMT-0700 (PDT),2016-05-21,2016-05-21 17:23:51 UTC,Pacific Time (US & Canada),21318,danielgeorge,2016-05-22 00:00:34 UTC,2018-10-24 00:00:05 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3261155,https://static.inaturalist.org/photos/3770902/medium.jpg?1463875255,,"","",2,0,false,3,"Pinnacles National Park, Paicines, CA, US",36.4783783333,-121.1570805,10,,,false,,"",,San Benito,California,United States,California,San Benito,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
3262448,Sat May 21 2016 15:40:47 GMT-0700 (PDT),2016-05-21,2016-05-21 22:40:47 UTC,Pacific Time (US & Canada),79343,joelle,2016-05-22 01:50:29 UTC,2018-11-14 21:48:02 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3262448,https://static.inaturalist.org/photos/3772594/medium.jpg?1463881848,,"",,1,0,false,3,"2400–2760 Pinnacles Hwy, Paicines, CA, US",36.4952666667,-121.1446221667,,,,false,,,,San Benito,California,United States,California,San Benito,Bees and Allied Wasps,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
3265291,2016/05/21 3:40 PM -0700,2016-05-21,2016-05-21 22:40:00 UTC,Arizona,28,tiwane,2016-05-22 04:56:50 UTC,2018-11-14 21:47:12 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3265291,https://static.inaturalist.org/photos/3775944/medium.jpg?1463892918,,"",,1,0,false,,"Pinnacles National Park, San Benito, California, United States",36.4952133333,-121.1445783333,,,,false,,,,San Benito,California,United States,California,San Benito,Bees and Allied Wasps,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
3451525,2016/06/11 10:59 AM -0700,2016-06-11,2016-06-11 17:59:00 UTC,Arizona,28,tiwane,2016-06-13 20:22:22 UTC,2020-01-15 06:35:02 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3451525,https://static.inaturalist.org/photos/4004155/medium.jpg?1465849215,,"macro, malpaso canyon, monterey county",,1,0,false,,"California, US",36.5807504381,-121.8841196856,,,,true,,,,Monterey,California,United States,California,Monterey,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
3482702,2016-06-17,2016-06-17,,Pacific Time (US & Canada),3342,hfabian,2016-06-19 16:31:01 UTC,2020-01-17 15:42:48 UTC,research,,http://www.inaturalist.org/observations/3482702,https://static.inaturalist.org/photos/4050324/medium.jpg?1466353864,,"","",1,0,false,,Lime Ridge Open Space,37.939161,-121.967039,825,,,false,,,,Contra Costa,California,United States,California,Contra Costa,Hesperapis regularis,Hesperapis regularis,,Insecta,345371,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,Hesperapis regularis,,,,
4999537,2016-04-02 18:14,2016-04-02,2016-04-03 01:14:00 UTC,Pacific Time (US & Canada),29409,eccentric_entomophile,2017-01-24 16:13:16 UTC,2018-10-17 14:54:22 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/4999537,https://static.inaturalist.org/photos/6111157/medium.jpg?1485274398,,"",Bee in a flower. ,2,0,false,,"Monvero Dunes, California, USA",36.537899,-120.562286,20,,,false,,,,Fresno,California,United States,California,Fresno,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
5154703,2001/07/11 11:17 AM CDT,2001-07-11,2001-07-11 16:17:00 UTC,Central Time (US & Canada),217571,cory_silas_sheffield,2017-02-22 16:22:25 UTC,2020-02-12 16:24:50 UTC,research,CC-BY-NC,http://inaturalist.ca/observations/5154703,https://static.inaturalist.org/photos/6351288/medium.jpg?1487780447,,"",On Lysimachia terrestris,1,0,false,,"Annapolis County, NS, Canada",44.9664679463,-65.0580739975,61,,,false,,,,Annapolis,,Canada,Nova Scotia,Annapolis,Macropis nuda,Macropis nuda,,Insecta,199154,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Melittinae,,,,Macropis,,Macropis nuda,,,,
5209806,2017/02/26 10:00 AM PST,2017-02-26,2017-02-26 18:00:00 UTC,Pacific Time (US & Canada),10285,finatic,2017-03-02 05:17:13 UTC,2019-02-23 00:06:25 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5209806,https://static.inaturalist.org/photos/6433127/medium.jpg?1488430942,,Mason Leafcutter and Resin Bees (Family Megachilidae),"Imperial County, California, US",1,0,false,,Ocotillo,32.7623733333,-115.9910516667,,,,false,,,,Imperial,California,United States,California,Imperial,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
5469221,2017/03/17 7:20 PM CDT,2017-03-17,2017-03-18 00:20:00 UTC,Central Time (US & Canada),43815,nathantaylor,2017-03-26 22:11:25 UTC,2018-07-29 02:48:11 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5469221,https://static.inaturalist.org/photos/6735039/medium.jpeg?1490565202,,"",,1,0,false,,"Lat 34.7986633333, Lon -115.1966083333",34.7986633333,-115.1966083333,,,,false,,,,San Bernardino,California,United States,California,San Bernardino,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
5520071,Fri Mar 31 2017 08:06:18 GMT-0700 (PDT),2017-03-31,2017-03-31 15:06:18 UTC,Pacific Time (US & Canada),231709,thunefeld,2017-03-31 19:46:37 UTC,2017-11-11 15:26:14 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5520071,https://static.inaturalist.org/photos/6808822/medium.jpg?1490989616,,"",Bee,3,0,false,3,"Anza-Borrego Desert State Park, Anza-Borrego Desert, San Diego County, US-CA, US",33.2696238254,-116.420297837,5,,,false,,,,San Diego,California,United States,California,San Diego,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
5531649,2017/03/30 1:31 PM PDT,2017-03-30,2017-03-30 20:31:00 UTC,Pacific Time (US & Canada),6755,claire2,2017-04-01 21:32:49 UTC,2020-05-17 02:22:16 UTC,needs_id,CC0,https://www.inaturalist.org/observations/5531649,https://static.inaturalist.org/photos/6825734/medium.jpg?1491082345,,"","In desert nettle flower, Mosaic Canyon",1,0,false,,"Inyo County, CA, USA",36.570275,-117.1435388889,,,,false,,,,Inyo,California,United States,California,Inyo,Ashmeadiella,Xeralictoides,,Insecta,700712,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
5571904,2017/04/01 1:34 PM PDT,2017-04-01,2017-04-01 20:34:00 UTC,Pacific Time (US & Canada),81261,biohexx1,2017-04-04 22:16:16 UTC,2018-03-05 04:24:43 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/5571904,https://static.inaturalist.org/photos/6879606/medium.jpeg?1491344097,,"",,0,0,false,,"Palm Desert; Riverside County, California",33.77277,-116.30478,2,,,false,,,,Riverside,California,United States,California,Riverside,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
5588753,2017/03/28 9:20 PM PDT,2017-03-28,2017-03-29 04:20:00 UTC,Pacific Time (US & Canada),5179,leptonia,2017-04-06 04:30:07 UTC,2018-07-25 04:03:41 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5588753,https://static.inaturalist.org/photos/6901381/medium.jpg?1491450793,,Baja Trip March 2017,"",2,0,false,,"Ensenada, Baja California, Mexico",30.1356355099,-115.56710869,51,,,false,,"",,,Baja California,Mexico,Baja California,Ensenada,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
5603040,Fri Apr 07 2017 07:47:17 GMT-0700 (PDT),2017-04-07,2017-04-07 14:47:17 UTC,Pacific Time (US & Canada),231709,thunefeld,2017-04-07 20:31:18 UTC,2017-11-14 11:43:17 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5603040,https://static.inaturalist.org/photos/6923178/medium.jpg?1491597084,,"",,2,1,false,3,"Anza-Borrego Desert State Park, San Diego County, US-CA, US",33.272480839,-116.4224011918,5,,,false,,,,San Diego,California,United States,California,San Diego,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
5652506,2017-04-08 9:57:05 AM MST,2017-04-08,2017-04-08 15:57:05 UTC,Mountain Time (US & Canada),250655,lindsie,2017-04-11 21:13:22 UTC,2019-05-11 20:21:56 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5652506,https://static.inaturalist.org/photos/6997349/medium.jpeg?1491945205,,"",,1,0,false,2,"200 Palm Canyon Drive Borrego Springs, CA 92004",33.257686615,-116.405921936,,,,false,gps,gps,,San Diego,California,United States,California,San Diego,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
5862206,2017-04-09 18:18:20,2017-04-09,2017-04-10 01:18:20 UTC,Pacific Time (US & Canada),27743,jaykeller,2017-04-20 00:04:19 UTC,2019-03-06 01:21:44 UTC,needs_id,,https://www.inaturalist.org/observations/5862206,https://static.inaturalist.org/photos/7299971/medium.jpg?1492646667,,"Hairy-footed Bee (Hesperapis), Tamarisk Grove, San Diego County, CA, 4-9-17","",4,0,false,,"California, United States",33.138572,-116.374723,,,,false,,"",,San Diego,California,United States,California,San Diego,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
6131358,Sat May 06 2017 13:43:59 GMT-0700 (PDT),2017-05-06,2017-05-06 20:43:59 UTC,Pacific Time (US & Canada),21318,danielgeorge,2017-05-07 22:47:00 UTC,2018-11-14 08:01:08 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/6131358,https://static.inaturalist.org/photos/7679298/medium.jpg?1494197237,,"",,2,0,false,3,"Pinnacles National Park, San Benito County, US-CA, US",36.5129109845,-121.2206113526,30,,,false,,,,San Benito,California,United States,California,San Benito,Bees and Allied Wasps,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
6176835,2017/04/28 4:16 PM PDT,2017-04-28,2017-04-28 23:16:00 UTC,Pacific Time (US & Canada),21370,euproserpinus,2017-05-12 00:36:59 UTC,2019-04-28 15:17:23 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/6176835,https://static.inaturalist.org/photos/7748901/medium.jpg?1494548521,,"","",2,0,false,,"San Benito County, US-CA, US",36.4928290339,-121.0752516898,76,obscured,,true,,,,San Benito,California,United States,California,San Benito,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
6176836,2017/04/28 4:35 PM PDT,2017-04-28,2017-04-28 23:35:00 UTC,Pacific Time (US & Canada),21370,euproserpinus,2017-05-12 00:37:00 UTC,2019-04-28 15:17:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/6176836,https://static.inaturalist.org/photos/7748903/medium.jpg?1494548523,,"","",2,0,false,,"San Benito County, US-CA, US",36.4986731765,-121.1558480821,76,obscured,,true,,,,San Benito,California,United States,California,San Benito,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
6176837,2017/04/28 4:38 PM PDT,2017-04-28,2017-04-28 23:38:00 UTC,Pacific Time (US & Canada),21370,euproserpinus,2017-05-12 00:37:00 UTC,2019-04-28 15:16:33 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/6176837,https://static.inaturalist.org/photos/7748907/medium.jpg?1494548531,,"","",2,0,false,,"San Benito County, US-CA, US",36.4757456532,-121.1151196279,76,obscured,,true,,,,San Benito,California,United States,California,San Benito,Hesperapis,Hesperapis,,Insecta,177889,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Melittidae,Dasypodainae,,Dasypodaini,,Hesperapis,,,,,,
